Model,Parameters,Trainable_Params,Training_Time,Best_Val_Acc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Final_Train_Acc,Final_Val_Acc
SimpleCNN,51539777,51539777,0.6961207389831543,0.4,0.3,0.3,1.0,0.46153846153846156,0.65,0.4
SimpleViT,2356737,2356737,0.22350001335144043,0.4,0.3,0.3,1.0,0.46153846153846156,1.0,0.4
PretrainedResNet50,23510081,23510081,0.5321614742279053,0.4,0.3,0.3,1.0,0.46153846153846156,0.9,0.4
PretrainedViT,11177025,11177025,0.2181072235107422,0.6,0.3,0.3,1.0,0.46153846153846156,0.9,0.4
