Model,Parameters,Trainable_Params,Training_Time,Best_Val_Acc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Final_Train_Acc,Final_Val_Acc,Performance_Score,Efficiency_Score,Stability_Score,Training_Eff_Score,Final_Score,Rank
PretrainedViT,11177025,11177025,0.2181072235107422,0.6,0.3,0.3,1.0,0.46153846153846156,0.9,0.4,0.45384615384615384,0.9542280308429082,0.65,1.0,0.697806870791334,1.0
SimpleViT,2356737,2356737,0.22350001335144043,0.4,0.3,0.3,1.0,0.46153846153846156,1.0,0.4,0.38717948717948714,1.0,0.6399999999999999,0.9833298620768844,0.6812047810794833,2.0
SimpleCNN,51539777,51539777,0.6961207389831543,0.4,0.3,0.3,1.0,0.46153846153846156,0.65,0.4,0.38717948717948714,0.29721520815734753,0.81,0.3995715824675599,0.44599351556575517,3.0
PretrainedResNet50,23510081,23510081,0.5321614742279053,0.4,0.3,0.3,1.0,0.46153846153846156,0.9,0.4,0.38717948717948714,0.3922893242992044,0.5700000000000001,0.5032056467839401,0.4368791568399502,4.0
